Question,Kobart-summary
면접자님께서는 협업을 할 때 사교성이 좋은 편이신가요 그렇다면 사교성을 키우기 위해서는 어떤 노력들을 해 보셨나요,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 저는 개인주의적인 사람이지만 협업을 할 때는 사교성이 좋은 편이라고 생각합니다. 유대감을 키워서 협업을 해야만 훨씬 더 어 제대로 된 결과물이 나왔기 때문입니다.                               .             .              습니다.
창의성과 팀워크 중 더 중요하게 생각하시는 것이 무엇인지 말씀해 주시고 그렇게 생각하시는 근거도 함께 얘기해 주세요,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 저는 팀워크를 가장 잘 표현할 수 있는 것은 스포츠라고 생각합니다. 팀워크를 통한다면 다른 개개인의 창의성과 같은 특별한 능력이 있을지라도 그보다 더 큰 성과를 이뤄낼 수 있다고 생각합니다. 아무리 창의성이 좋은 사람이 한 명 있다고 하더라도 팀워크를 통해 이 팀이 잘 조직이 된다면 가장 최고의 효율을 나타내는 결과를 나타낼 수 있을 거라고 생각합니다.
지원자분의 십 년 후 미래는 어떨 것 같으신지 궁금합니다 저희 회사에 계속 다니고 계실 것 같으신가요,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 제가 생각하는 엔지니어는 엔지니어로서의 능력을 바탕으로 리더십을 발휘하는 공학형 인재를 말합니다. 지금은 한 팀의 구성원으로서 능력을 키우기 위해 배운다는 마음가짐으로 업무의 최선을 다할 것입니다.                                             .
지원자 분의 성격 상 장점과 단점에 대해서 이야기해 주세요 구체적인 예시를 들어주셔도 좋습니다,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 제 장점이라 하면 어떤 일을 하는 데 있어서 느슨하게 하지 않고 꼼꼼하게 정리를 하고 어 메모도 하고 기록을 남기는 어 성격의  것이죠.                               .               이               의
그동안 속해 있었던 조직이나 단체 속에서 지원자님은 주로 어떤 역할을 하는 사람이었는지 궁금합니다,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 저는 밝은 성격으로 주변 친구들과 소통하는데 엇갈리는 점이 많았지만 징검다리 역할을 하여 원활히 소통을 하도록 도와주는 윤활유 역할을 한 것 같습니다.                               .                              의
해외에 파견 근무를 나가게 된다면 어느 나라에서 일을 하고 싶으십니까 이유도 말씀해 주시기 바랍니다,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 제가 해외에 파견 근무를 나가게 된다면 터키에서 반드시 일을 해보고 싶습니다. 그 이유는 제가 터키에 굉장히 능통한 경험이 있기 때문인데 제가 터키에 굉장히 능통한 경험이 있기 때문입니다. 일 년 간의 교환 학생 기간이 끝나고도 저는 터키에서 더 지내게 되었는데 그곳에서 관련 직무와 관련된 인턴을 하면서 어 이 년이라는 시간을 더 보낼 수 있었습니다. 터키는 굉장히 어 발전 가능성이 많은 국가이기 때문에 이러한 점도 제가 터키의 끌림을 느끼는 이유 중의 하나 중 하나입니다.
면접자님께선 과거 프로젝트를 수행했던 경험이 있나요 있다면 그 프로젝트 내에서 어떤 역할을 맡으셨는지 궁금합니다,"RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 수소 에너지 산업에 대한 인력 양성 로드맵을 작성하는 국가 과제를 수행했던 적이 있었습니다. 제가 대학생인 상황에서 할 수 있을 것이라고는 생각하지 않았지만, 과거에 어떤 직장에서 일을 하면서 그 직장에서 국가 과제를 따와서 같이 일을 하게 될 기회가 있어서 또 관련돼서 이 프로젝트에 투입이 됐었습니다. 끝까지 해내고자 마음을 다짐하고 열심히 해서 마지막까지 잘 마무리를 할 수 있을가 할 수가 있었습니다."
현대 사회에서 없어서는 안되고 가장 중요하다고 생각하시는 직업이 있으시다면 한 가지만 골라서 답변 부탁드리도록 하겠습니다,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 제약 바이오 알엔디 산업에 종사하는 직무분들 혹은 최우선에서 국민의 안전을 담당하는 소방관 경찰관 등이 가장 필요하다고 생각합니다. 현대 사회 많은 기술들은 에이아이 기술과 로봇 기술의 발전으로 점차 대체되어 나가고 있지만 로봇이 아무리 발전해도 결코 대체할 수 없는 분야가 있다고 생각합니다. 특히 안전 직무의 경우 더욱 그렇습니다. 매 순간 유동적인 사람의 감정을 공감하면서 그런 상황에 최적의 판단을 내릴 수 있을 능력은 아직 로봇이 갖추지 못하였다고 생각하기 때문에 일선에 최우선에서 인간들의 안전을 책임지는 안전 직무는 그 무엇보다도 사람이 필요한 현대 사회에 없어서는 안 될 직무라고 생각합니다.
면접자님께서 스터디를 따로 하고 계신 게 있다면 어떤 공부인지 왜 하고 계신지 말씀해 주세요,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 저는 교양으로 중국어 수업을 들었고 영어만큼 중국어가 더 많이 쓰일 예정이 있기 때문에 그 언어에 대한 미래도 밝다고 생각했습니다. 그래서 중국어를 배우고 회화 스터디를 하고 회화 위주로 하는 스터디를 하고 있습니다. 중국어가 어느 정도 일정 수준에 올랐다고 생각하고 앞으로도 더 능 효율적으로 할 수 있도록 노력하고 있습니다.
지원자님이 현재 현재 가지고 있는 그 위치보다 더 높은 더 어려운 목표를 달성한 경험이 있다면 그 경험에 대해서 얘기해 주세요,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 코로나 때문에 현지에 있는 엔지니어들이 한국에 방문할 수 없었지만 저는 이십 억이 넘는 장비를 일단 설치하고 장비에 마다 이십 개의 카메라를 달아서 현지에 있는 엔지니어들이 저희한테 설치 지원을 할 수 있게끔 중간에 통역 및 관련된 업무를 계속적으로 지원하여 세 달 만에 장비 두 대를 완벽하게 설치 가동 검수까지 마치고 업무를 이행하지 못할 시 물어내야 하는 지체 상금에 대해서도 한 푼도 물지 않고 현재까지 잘 쓰고 있었습니다.
